Symbol,Trade DATE,NOCP
TWLO,8/17/17,30.32
TWLO,8/18/17,29.91
TWLO,8/21/17,29.21
TWLO,8/22/17,29.05
TWLO,8/23/17,28.98
TWLO,8/24/17,29.32
TWLO,8/25/17,28.93
TWLO,8/28/17,28.59
TWLO,8/29/17,28.99
TWLO,8/30/17,29.23
TWLO,8/31/17,29.28
TWLO,9/1/17,28.96
TWLO,9/5/17,29.35
TWLO,9/6/17,29.88
TWLO,9/7/17,29.73
TWLO,9/8/17,29.77
TWLO,9/11/17,30.65
TWLO,9/12/17,30.23
TWLO,9/13/17,30.62
TWLO,9/14/17,31.04
TWLO,9/15/17,30.88
TWLO,9/18/17,31.14
TWLO,9/19/17,31.04
TWLO,9/20/17,30.51
TWLO,9/21/17,30.5
TWLO,9/22/17,30.83
TWLO,9/25/17,29.47
TWLO,9/26/17,27.52
TWLO,9/27/17,29.14
TWLO,9/28/17,29.68
TWLO,9/29/17,29.85
TWLO,10/2/17,30.87
TWLO,10/3/17,31.57
TWLO,10/4/17,31.37
TWLO,10/5/17,32.16
TWLO,10/6/17,32.35
TWLO,10/9/17,32.23
TWLO,10/10/17,32.13
TWLO,10/11/17,32.67
TWLO,10/12/17,32.12
TWLO,10/13/17,32.58
TWLO,10/16/17,31.94
TWLO,10/17/17,31.74
TWLO,10/18/17,31.61
TWLO,10/19/17,31.44
TWLO,10/20/17,32.62
TWLO,10/23/17,31.85
TWLO,10/24/17,31.9
TWLO,10/25/17,31.27
TWLO,10/26/17,31.39
TWLO,10/27/17,31.99
TWLO,10/30/17,31.88
TWLO,10/31/17,31.95
TWLO,11/1/17,31.51
TWLO,11/2/17,30.34
TWLO,11/3/17,30.24
TWLO,11/6/17,29.88
TWLO,11/7/17,28.38
TWLO,11/8/17,27.83
TWLO,11/9/17,25.93
TWLO,11/10/17,25.55
TWLO,11/13/17,26.4
TWLO,11/14/17,25.82
TWLO,11/15/17,25.29
TWLO,11/16/17,26.11
TWLO,11/17/17,25.68
TWLO,11/20/17,26.07
TWLO,11/21/17,25.91
TWLO,11/22/17,26.13
TWLO,11/24/17,26.29
TWLO,11/27/17,25.82
TWLO,11/28/17,26.42
TWLO,11/29/17,26.23
TWLO,11/30/17,26.66
TWLO,12/1/17,26.07
TWLO,12/4/17,25.71
TWLO,12/5/17,24.99
TWLO,12/6/17,24.07
TWLO,12/7/17,24.8
TWLO,12/8/17,24.74
TWLO,12/11/17,24.82
TWLO,12/12/17,25.14
TWLO,12/13/17,25.33
TWLO,12/14/17,25.17
TWLO,12/15/17,25.38
TWLO,12/18/17,25.4
TWLO,12/19/17,25.01
TWLO,12/20/17,25.09
TWLO,12/21/17,24.33
TWLO,12/22/17,24.81
TWLO,12/26/17,24.72
TWLO,12/27/17,24.51
TWLO,12/28/17,24.38
TWLO,12/29/17,23.6
TWLO,1/2/18,25.1
TWLO,1/3/18,25.69
TWLO,1/4/18,25.68
TWLO,1/5/18,25.76
TWLO,1/8/18,26.17
TWLO,1/9/18,25.75
TWLO,1/10/18,25.64
TWLO,1/11/18,26.03
TWLO,1/12/18,26.16
TWLO,1/16/18,25.33
TWLO,1/17/18,25.4
TWLO,1/18/18,25.68
TWLO,1/19/18,25.71
TWLO,1/22/18,26.24
TWLO,1/23/18,26.63
TWLO,1/24/18,26.91
